Rank,Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Position,Skill moves,Age,Nation,League,Team,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
1,Kylian Mbappe,91,97,90,80,92,36,78,ST,5,25,France,LALIGA EA SPORTS,Real Madrid,,,,,
2,Rodri,91,66,80,86,84,87,85,CDM,3,28,Spain,Premier League,Manchester City,,,,,
4,Erling Haaland,91,88,92,70,81,45,88,ST,3,24,Norway,Premier League,Manchester City,,,,,
5,Jude Bellingham,90,80,87,83,88,78,83,CAM,4,21,England,LALIGA EA SPORTS,Real Madrid,,,,,
7,Vini Jr.,90,95,84,81,91,29,69,LW,5,24,Brazil,LALIGA EA SPORTS,Real Madrid,,,,,
9,Kevin De Bruyne,90,67,87,94,87,65,78,CM,4,33,Belgium,Premier League,Manchester City,,,,,
11,Harry Kane,90,65,93,84,83,49,82,ST,3,31,England,Bundesliga,FC Bayern München,,,,,
12,Martin Ødegaard,89,70,82,89,89,67,66,CM,5,25,Norway,Premier League,Arsenal,,,,,
13,Gianluigi Donnarumma,89,90,84,73,90,52,87,GK,1,25,Italy,Ligue 1 McDonald's,Paris SG,90.0,84.0,73.0,87.0,90.0
15,Alisson,89,86,85,85,89,56,90,GK,1,31,Brazil,Premier League,Liverpool,86.0,85.0,85.0,90.0,89.0
16,Thibaut Courtois,89,85,89,76,90,46,88,GK,1,32,Belgium,LALIGA EA SPORTS,Real Madrid,85.0,89.0,76.0,88.0,90.0
18,Lautaro Martínez,89,82,88,75,87,54,85,ST,4,27,Argentina,Serie A Enilive,Lombardia FC,,,,,
20,Virgil van Dijk,89,78,60,71,71,89,86,CB,2,33,Holland,Premier League,Liverpool,,,,,
21,Marc-André ter Stegen,89,86,85,89,91,47,86,GK,1,32,Germany,LALIGA EA SPORTS,FC Barcelona,86.0,85.0,89.0,86.0,91.0
22,Mohamed Salah,89,89,87,82,88,45,75,RW,4,32,Egypt,Premier League,Liverpool,,,,,
23,Phil Foden,88,86,86,85,90,57,63,RW,4,24,England,Premier League,Manchester City,,,,,
25,Lionel Messi,88,79,85,87,92,33,64,RW,4,37,Argentina,MLS,Inter Miami CF,,,,,
28,Antoine Griezmann,88,80,88,87,89,59,75,ST,4,33,France,LALIGA EA SPORTS,Atlético de Madrid,,,,,
29,Rúben Dias,88,67,39,70,69,89,87,CB,2,27,Portugal,Premier League,Manchester City,,,,,
30,Robert Lewandowski,88,75,88,79,86,44,84,ST,4,36,Poland,LALIGA EA SPORTS,FC Barcelona,,,,,
32,Federico Valverde,88,88,82,84,84,80,84,CM,3,26,Uruguay,LALIGA EA SPORTS,Real Madrid,,,,,
33,Ederson,88,87,82,91,87,64,86,GK,1,31,Brazil,Premier League,Manchester City,87.0,82.0,91.0,86.0,87.0
34,Bernardo Silva,88,75,78,86,92,71,69,CM,4,30,Portugal,Premier League,Manchester City,,,,,
38,Jan Oblak,88,85,90,78,87,46,86,GK,1,31,Slovenia,LALIGA EA SPORTS,Atlético de Madrid,85.0,90.0,78.0,86.0,87.0
40,Antonio Rüdiger,88,82,55,73,70,86,86,CB,2,31,Germany,LALIGA EA SPORTS,Real Madrid,,,,,
42,Florian Wirtz,88,81,78,87,89,50,67,CAM,4,21,Germany,Bundesliga,Leverkusen,,,,,
43,Gregor Kobel,88,87,86,73,89,44,87,GK,1,26,Switzerland,Bundesliga,Borussia Dortmund,87.0,86.0,73.0,87.0,89.0
44,William Saliba,87,82,39,70,74,87,83,CB,2,23,France,Premier League,Arsenal,,,,,
45,Victor Osimhen,87,89,84,65,81,42,82,ST,3,25,Nigeria,Serie A Enilive,SSC Napoli,,,,,
46,Jamal Musiala,87,84,81,78,90,63,64,CAM,5,21,Germany,Bundesliga,FC Bayern München,,,,,
47,Bukayo Saka,87,85,83,81,88,60,70,RW,3,23,England,Premier League,Arsenal,,,,,
49,Paulo Dybala,87,80,85,84,89,41,65,CAM,5,30,Argentina,Serie A Enilive,AS Roma,,,,,
50,Theo Hernández,87,95,76,78,84,81,89,LB,4,26,France,Serie A Enilive,Milano FC,,,,,
